//tau lambda mean lower_bound upper_bound
0.887156 4 0.493566 0.482059 0.505073
0.895365 4 0.504882 0.493121 0.516643
0.903649 4 0.500017 0.48807 0.511964
0.912011 4 0.498151 0.486343 0.509959
0.92045 4 0.500885 0.488537 0.513234
0.928966 4 0.480145 0.468973 0.491317
0.937562 4 0.484341 0.472941 0.495741
0.946237 3.999 0.481681 0.470258 0.493103
0.954993 4 0.475757 0.464764 0.486749
0.963829 4 0.47868 0.467625 0.489735
0.972747 4 0.471766 0.461132 0.482401
0.981748 4 0.48099 0.469476 0.492505
0.990832 4 0.462877 0.452136 0.473618
1 4 0.46861 0.457584 0.479635
1.00925 4 0.472053 0.460818 0.483288
1.01859 4 0.470751 0.459886 0.481615
1.02802 4 0.463451 0.452768 0.474134
1.03753 4 0.467437 0.456452 0.478422
1.04713 4 0.460453 0.449947 0.470959
1.05682 4 0.461659 0.450935 0.472384
1.0666 4 0.453008 0.442377 0.46364
1.07647 4 0.454394 0.44376 0.465029
1.08643 4 0.453971 0.443761 0.46418
1.09648 4 0.451604 0.44099 0.462217
1.10662 4 0.44976 0.439247 0.460272
1.11686 4 0.443542 0.433516 0.453568
1.1272 4 0.44267 0.432933 0.452407
1.13763 4 0.452467 0.441614 0.463319
1.14815 4 0.434243 0.424048 0.444437
1.15878 4 0.443323 0.432893 0.453754
1.1695 4 0.428557 0.419149 0.437964
1.18032 4 0.426546 0.417008 0.436083
1.19124 4 0.432104 0.422562 0.441647
1.20226 4 0.441815 0.4314 0.452231
1.21339 4 0.428886 0.419318 0.438454
1.22462 4 0.419937 0.410361 0.429513
1.23595 4 0.430703 0.420718 0.440687
1.24738 4 0.427476 0.417663 0.437288
1.25893 4 0.415413 0.406399 0.424427
1.27057 4 0.415877 0.407007 0.424746
1.28233 4 0.404895 0.396432 0.413358
1.2942 4 0.414071 0.405048 0.423094
1.30617 4 0.40879 0.400035 0.417544
1.31826 4 0.410804 0.401723 0.419884
1.33045 4 0.410418 0.401416 0.41942
1.34276 4 0.407897 0.399008 0.416786
1.35519 4 0.399278 0.390276 0.40828
1.36773 4 0.402434 0.393717 0.411151
1.38038 4 0.394083 0.385659 0.402507
1.39316 4 0.401563 0.392935 0.410192
1.40605 4 0.393654 0.385489 0.401819
1.41906 4 0.397938 0.389759 0.406116
1.43219 4 0.393836 0.38546 0.402213
1.44544 4 0.390516 0.382381 0.398651
1.45881 4 0.39026 0.381951 0.39857
1.47231 4 0.391743 0.383687 0.399798
1.48594 4 0.38372 0.375875 0.391565
1.49968 4 0.385701 0.377957 0.393445
1.51356 4 0.388831 0.380622 0.39704
1.52757 4 0.384269 0.376402 0.392135
1.5417 4 0.385616 0.377301 0.393931
1.55597 4 0.377926 0.370304 0.385549
1.57036 4 0.380988 0.372895 0.389081
1.58489 4 0.371042 0.363612 0.378472
1.59956 4 0.378299 0.370778 0.38582
1.61436 4 0.372317 0.365049 0.379584
1.6293 4 0.37175 0.364135 0.379365
1.64437 4 0.37287 0.365397 0.380344
1.65959 4 0.364598 0.357783 0.371413
1.67494 4 0.365463 0.358751 0.372175
1.69044 4 0.363589 0.356341 0.370837
1.70608 4 0.354891 0.348533 0.361249
1.72187 4 0.356876 0.35037 0.363383
1.7378 4 0.362456 0.355423 0.369488
1.75388 4 0.358752 0.351582 0.365922
1.77011 4 0.356765 0.350079 0.363451
1.78649 4 0.352606 0.34624 0.358972
1.80302 4 0.349683 0.343287 0.35608
1.8197 4 0.350613 0.344475 0.35675
1.83654 4 0.351698 0.345321 0.358075
1.85353 4 0.349702 0.34325 0.356154
1.87068 4 0.349508 0.342992 0.356024
1.88799 4 0.345575 0.339666 0.351484
1.90546 4 0.345969 0.339871 0.352066
1.92309 4 0.340327 0.334305 0.346349
1.94089 4 0.342589 0.336674 0.348503
1.95884 4 0.338416 0.333134 0.343698
1.97697 4 0.33677 0.330998 0.342541
1.99526 4 0.337724 0.331677 0.343771
2.01372 4 0.333729 0.328152 0.339306
2.03236 4 0.343601 0.337505 0.349696
2.05116 4 0.335001 0.329445 0.340557
